source_plot_id,plot_code,rr_no,street_no,main_structure_name,location,city_survey_no,city_survey_div,plot_area_sqm,plot_desc,plot_status,plot_active,is_vacant,owner,owner_name,owner_contactno,dept_name,estate_id,div_id,plot_unit_id,ward_id,zone_id,zone_detail_id,plot_customer_code,mcgm_allotted_no,mcgm_plot_no,existing_plot_no,reservation,rrzone2017,mbpt_road_connectivity,schedule_east,schedule_west,schedule_north,schedule_south,pincode,plot_remarks,let_out_id,let_out_name,letout_status,letout_recorded_area_sqm,letout_land_area_sqm,letout_billable_area_sqm,letout_dept_id,letout_from_date,letout_to_date,existing_tenancy_id,existing_tenancy_unit_id,tenancy_mapping_active,tenancy_allotted,existing_tenant_name,existing_current_rent,existing_commercial_rent,existing_g_sec_rate,existing_lease_years,existing_agreement_start_date,existing_agreement_end_date,existing_lac_approval_date,existing_chairman_approval_date,existing_board_approval_date,existing_tamps_approval_date,existing_upfront_premium_flag,existing_upfront_premium_amount,tenancy_area_sqm,tenancy_consumed_fsi,tenancy_recorded_built_up_area_sqm,tenancy_commercial_built_up_area_sqm,tenancy_area_active,tenancy_area_from_date,tenancy_area_to_date,recorded_planning_fsi,recorded_additional_fsi,recorded_fsi_addition,recorded_planning_built_up_area_sqm,crz_applicable,re_develop_applicable,application_tenancy_id,application_status,application_allotted,existing_application_purpose,existing_allotment_basis,existing_application_lease_start_date,existing_application_lease_end_date,existing_tender_number,existing_tender_id,existing_tender_description,existing_application_rate,existing_rate_revision_percent,existing_rate_revision_amount,existing_application_upfront_premium,existing_security_deposit,existing_application_agreement_date,existing_sor_applicable_date,recorded_rr_land_value,rr_land_value_from_date,rr_land_value_to_date,recorded_sor_market_value,sor_market_value_from_date,sor_market_value_to_date,zone_home_rate,zone_non_home_rate,zone_annual_increment,zone_rate_from_date,zone_rate_to_date
3074,101010031,R R 1646,,PRIVATE STRUCTURE,WADALA,8A/358,DADAR-NAIGAON,24265.71,,A,False,True,True,,,,1,56,1,7,,,10101136,,,,,,True,MbPT LAND,RED BOUNDARY LINE ROAD,RR - 1940 & RED BOUNDARY LINE ROAD,MbPT LAND & RED BOUNDARY LINE ROAD & M.T (ADJ TO R.R.1646 & 1673),400035,,465,R R 1646,A,,,24265.7100,4,,,10101136,1,True,True,,,,,,,,,,,,False,,24265.7100,0.9900,0.0000,24023.0500,True,2004-04-01,,,,,,,,10101136,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,1940-06-25,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3075,101010032,R R 1663,,PRIVATE STRUCTURE,WADALA,12D/358,DADAR-NAIGAON,14155.72,,A,False,True,True,,,,1,56,1,7,,,10101209,,,,,,True,SEWRI FORT ROAD,HINDUSTAN PETROLEUM CORP. LTD.,PLOT - 101,MbPT ROAD,400035,,466,R R 1663,A,,,14155.7200,4,,,10101209,1,True,True,,,,,,,,,,,,False,,14155.7200,0.0000,0.0000,0.0000,True,1873-01-01,,,,,,,,10101209,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,1946-10-01,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3077,101010033,R R 1673,,PRIVATE STRUCTURE,WADALA,7A2/358,DADAR-NAIGAON,3340.79,,A,False,True,True,,,,1,56,1,7,,,10101137,,,,,,True,MbPT HOSPITAL ROAD,MbPT LAND,RR - 1803,RR - 1646,400035,,467,R R 1673,A,,,3340.7900,4,,,10101137,1,True,True,,,,,,,,,,,,False,,3340.7900,1.0300,0.0000,3441.0100,True,2004-04-01,,,,,,,,10101137,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,1942-11-17,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3078,101010034,R R 1739,,PRIVATE STRUCTURE,WADALA,16/358,DADAR-NAIGAON,5088.53,,A,False,True,True,,,,1,56,1,7,,,10101213,,,,,,False,INDIAN OIL CORP. LTD. & OPEN LAND,HINDUSTAN PETROLEUM CORP. & ,OPEN LAND & L.M. NADKARNI MARG,HINDUSTAN PETROLEUM CORP.,400035,,468,R R 1739,A,,,5088.5300,4,,,20601235,6,True,True,,,,,,,,,,,,False,,,,,,,,,,,,,,,20601235,APPROVED,True,,Other,1994-07-01,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3080,101010035,R R 2012,,PRIVATE STRUCTURE,WADALA,12B/358,DADAR-NAIGAON,15276.78,,A,False,True,True,,,,1,56,1,7,,,10101210,,,,,,True,SEWREE FORT ROAD,MbPT LAND ,MbPT LAND ,"MbPT LAND, PLOT NO. 101",400035,,469,R R 2012,A,,,15276.7800,4,,,10101210,1,True,True,,,,,,,,,,,,False,,15276.7800,0.0000,0.0000,0.0000,True,1873-01-01,,,,,,,,10101210,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,1961-04-01,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3081,101010036,R R 2013,,PRIVATE STRUCTURE,WADALA,29/358,DADAR-NAIGAON,4566.18,,A,False,True,True,,,,1,56,1,7,,,10101134,,,,,,False,MbPT PASSAGE,L.M. NADKARNI MARG ,HINDUSTAN PETROLEUM LTD.,RR - 1314,400035,,470,R R 2013,A,,,4566.1800,4,,,20601249,6,True,True,,,,,,,,,,,,False,,,,,,,,,,,,,,,20601249,APPROVED,True,,Other,2003-10-01,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3088,101010041,R.R.2026,,PRIVATE STRUCTURE,WADALA,29/358,DADAR-NAIGAON,856.84,,A,False,True,True,,,,1,56,1,7,,,10101144,,,,,,False,MbPT LAND & RR - 1823,RYL. SIDING,MbPT LAND,RR - 1823,400035,,475,R.R.2026,A,,,856.8400,4,,,20601303,6,True,True,,,,,,,,,,,,False,,,,,,,,,,,,,,,20601303,APPROVED,True,,Other,1998-02-01,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3090,101010043,RR 1735,,PRIVATE STRUCTURE,WADALA,4/358,DADAR-NAIGAON,34245.16,,A,False,True,True,,,,1,56,1,7,,,10101202,,,,,,True,MbPT LAND,MbPT LAND & BEYOND THAT I.B.P.C INSTALLATION,MbPT LAND & TROMBAY ROAD,MbPT LAND & HARBOUR,400035,,477,RR 1735,A,,,34245.1600,4,,,10101202,1,True,True,,,,,,,,,,,,False,,34245.1600,0.1300,0.0000,0.0000,True,1873-01-01,,,,,,,,10101202,APPROVED,True,"Petrol & oil, diesel pumps, service station, weigh bridge & other purposes connected with motor trade",Other,1949-07-08,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
3095,101010048,STERILE STRIP OF P.T LAND BETN.OLD RR NOS.1673 & 1646.,,OPEN PLOT,WADALA,7B/358,DADAR-NAIGAON,761.90,,A,False,True,True,,,,1,56,1,7,,,10101319,,,,,,False,RR – 1803 & RR – 1673 & RR – 1646,RR – 1940 & RR – 1646,LAND AQUIRED BY GOVT.,O.P.L YARD,400035,,489,STERILE STRIP OF P.T LAND BETN.OLD RR NOS.1673 & 1646.,A,,,761.9000,4,,,10101319,1,True,True,,,,,,,,,,,,False,,761.9000,999999.9900,0.0000,0.0000,True,2011-01-01,,,,,,,,10101319,APPROVED,True,,Other,2005-09-01,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
7976,101010051,LEASE OF 25, , , ,38/358,DADAR NAIGAUM,14966.00,,A,False,True,True, , , ,1,56,1,,,,10101148, , , ,,,False, , , , ,, ,4484,LEASE OF 25,A,,,14966.0000,4,,,10101148,1,False,True,,,,,,,,,,,,False,,14966.0000,0.0000,0.0000,0.0000,True,1873-01-01,,,,,,,,10101148,APPROVED,False,,Other,1976-03-05,,0,,,0,0.00,0.00,0,0,,,,,,,,,,,,,
