source_plot_id,plot_code,let_out_id,let_out_name,letout_status,tenancy_mapping_id,tenancy_id,unit_id,company_name,is_active,is_alloted,current_rent,current_rent_commercial,home_rate,non_home_rate,g_secrate,long_lease_years,agreement_start_date,agreement_end_date,lac_approval_date,chairman_approval_date,board_approval_date,tamps_approval_date,commencement_date,termination_date,is_upfront_premimum,upfront_premimum_amount,is_service_charge_applicable,percent_rate_revision,amount_rate_revision,update_timestamp
3090,101010043,477,RR 1735,A,326,10101202,1,,True,True,,,,,,,,,,,,,,,False,,True,4.00,,2025-10-01 10:01:21.617000
3090,101010043,477,RR 1735,A,4686,20601303,6,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:34:59.053000
3095,101010048,489,STERILE STRIP OF P.T LAND BETN.OLD RR NOS.1673 & 1646.,A,338,10101319,1,,True,True,,,,,,,,,,,,,,,False,,True,4.00,,2025-10-01 10:01:21.617000
3095,101010048,489,STERILE STRIP OF P.T LAND BETN.OLD RR NOS.1673 & 1646.,A,4700,20602105,6,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:34:59.053000
7976,101010051,4484,LEASE OF 25,A,3333,10101148,1,,False,True,,,,,,,,,,,,,,,False,,True,4.00,,2022-11-14 11:47:41.757000
8194,101010057,4700,OLD R.R.1823,A,132,10101146,1,,False,True,,,,,,,,,,,,,,,False,,True,4.00,,2022-11-14 11:47:41.757000
8195,101010058,4701,OLD RR 2023,A,133,10101201,1,,False,True,,,,,,,,,,,,,,,False,,True,4.00,,2022-11-14 11:47:41.757000
8187,101030002,4694,P.T.LAND S.NO.83 AT AMBAPADA,SIP,126,10103126,1,,False,True,,,,,,,,,,,,,,,False,,False,,,2022-11-14 11:47:41.757000
3099,101040001,493,LEASE OF P.T.LAND,A,358,10104103,1,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:34:50.931000
3099,101040001,493,LEASE OF P.T.LAND,A,4704,20701103,7,,True,True,,,,,,,,,,,,,,,False,,True,,,2024-03-01 17:36:40.195000
8396,101040001,6069,LEASE OF P.T.LAND,A,5671,10104106,1,,True,True,,,,,,,,,,,,,,,False,,True,4.00,,2026-05-07 10:01:21.617000
8189,101040003,4696,LEASE OF LAND,A,128,10104102,1,,False,True,,,,,,,,,,,,,,,False,,True,4.00,,2022-11-14 11:47:41.757000
8189,101040003,5501,asmita land,A,12,12345678,1,,True,False,,,,,,,,,,,,,,,False,,False,,,2023-10-02 17:02:32.042000
3101,101050001,4174,1,A,241,10105116,1,,False,True,,,,,,,,,,,,,,,False,,True,,,2022-11-14 11:47:41.757000
3102,101050002,495,6,A,360,10105109,1,,True,True,,,,,,,,,,,,,,,False,,True,4.00,,2025-10-01 10:01:21.617000
